lead_time
1
3
3
1
1
3
3
1
4
3
1
3
4
4
4
4
4
1
5
3
3
3
3
4
4
4
4
1
3
2
4
3
4
5
1
1
4
3
5
5
2
3
1
5
2
3
4
3
2
1
4
5
